id,book_id,book_title,book_type,page,tags,text_content,text_language,text_language_code,text_translation,quote_content,quote_language,quote_language_code,annotator,annotation_region,ink,page_iiif
https://derridas-margins.princeton.edu/interventions/00100b86-92f2-4668-8678-967bd9a2ae50/,https://derridas-margins.princeton.edu/titles/117/,La pensée sauvage,Book,p. 169,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/p-169/iiif/3518,2821,307,1115/full/0/default.jpg",black ink,"https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/p-169/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/0060b440-69b8-4d00-a36a-e72c5f4fcc8a/,https://derridas-margins.princeton.edu/titles/230/,"Oeuvres complètes de J.-J. Rousseau, vol. III",Book,p. 142,bracket(s);pencil,,,,,perfectionner,French,fr,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-142/iiif/885,2062,908,323/full/0/default.jpg",pencil,"https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-142/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/00aab429-b61f-41a6-92f0-a09e455c61f8/,https://derridas-margins.princeton.edu/titles/230/,"Oeuvres complètes de J.-J. Rousseau, vol. III",Book,p. 368,pencil;underlining,,,,,pouvoir,French,fr,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-368/iiif/2715,3849,508,155/full/0/default.jpg",pencil,"https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-368/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/00ad6d22-64f6-4649-9a95-a6f8270cceb8/,https://derridas-margins.princeton.edu/titles/141/,Sein und Zeit,Book,p. 428,blue ink;circling,,,,,kritisieren,German,de,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/p-428/iiif/2738,3780,655,316/full/0/default.jpg",blue ink,"https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/p-428/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/00cb409e-1d22-4c6c-ac5d-2a34a18f8af1/,https://derridas-margins.princeton.edu/titles/134/,Tristes Tropiques,Book,p. 264,black ink;bracket(s),,,,,,,,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/p-264/iiif/786,3534,3107,2031/full/0/default.jpg",black ink,"https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/p-264/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/011ae8dd-cc63-4790-9e47-1549f3101e7f/,https://derridas-margins.princeton.edu/titles/123/,Logique formelle et logique transcendantale,Book,p. 387,blue ink;underlining,,,,,sous,French,fr,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/husserl-formale-und-transzendentale-logik-versuch-einer-kritik-der-logischen-1957/gallery/images/p-387/iiif/1771,3290,568,244/full/0/default.jpg",blue ink,"https://derridas-margins.princeton.edu/library/husserl-formale-und-transzendentale-logik-versuch-einer-kritik-der-logischen-1957/gallery/images/p-387/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/01c4137f-2359-4e5a-b934-43752713eed6/,https://derridas-margins.princeton.edu/titles/225/,Sociologie et anthropologie,Book,p. xlvii,black ink;bracket(s);marginal mark,,,,,,,,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/p-xlvii/iiif/3244,5270,302,338/full/0/default.jpg",black ink,"https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/p-xlvii/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/02031300-f6e2-4eb5-9c5a-3a120cd74618/,https://derridas-margins.princeton.edu/titles/243/,De la grammatologie,Book,p. 446,correction;marginal mark;pencil,é,French,fr,,Levi-Strauss,French,fr,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/p-446/iiif/857,5436,230,417/full/0/default.jpg",pencil,"https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/p-446/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/0210ed8f-4afb-4402-ab89-cb28b6b387d5/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 103,line;pencil,,,,,,,,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-103/iiif/287,3134,196,929/full/0/default.jpg",pencil,"https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-103/iiif/full/500,/0/default.jpg"
https://derridas-margins.princeton.edu/interventions/02850014-f384-4adf-b167-c10361ec948d/,https://derridas-margins.princeton.edu/titles/107/,Essais de linguistique générale,Book,p. 116,circling;pencil,,,,,l'exigence théorique,French,fr,"Derrida, Jacques","https://derridas-margins.princeton.edu/library/jakobson-fundamentals-of-language-1963/gallery/images/p-116/iiif/2620,2368,1309,260/full/0/default.jpg",pencil,"https://derridas-margins.princeton.edu/library/jakobson-fundamentals-of-language-1963/gallery/images/p-116/iiif/full/500,/0/default.jpg"
