id,book id,book title,book type,page,tags,text content,text language,text language code,text translation,quote content,quote language,quote language code,annotator,annotation region,ink,page iiif
https://derridas-margins.princeton.edu/interventions/00100b86-92f2-4668-8678-967bd9a2ae50/,https://derridas-margins.princeton.edu/titles/117/,La pensée sauvage,Book,p. 169,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/36%2F65%2Ff9%2F3665f9f50fab4dabb32e2dd3d1911cb5%2Fintermediate_file/pct:74.13,37.7,6.47,14.9/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/p-169/large@2x/
https://derridas-margins.princeton.edu/interventions/0060b440-69b8-4d00-a36a-e72c5f4fcc8a/,https://derridas-margins.princeton.edu/titles/230/,"Oeuvres complètes de J.-J. Rousseau, vol. III",Book,p. 142,bracket(s);pencil,,,,,perfectionner,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/03%2F12%2F0f%2F03120f0887b84bd5a4a1765c91fa1230%2Fintermediate_file/pct:22.22,34.53,22.82,5.41/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-142/large@2x/
https://derridas-margins.princeton.edu/interventions/00aab429-b61f-41a6-92f0-a09e455c61f8/,https://derridas-margins.princeton.edu/titles/230/,"Oeuvres complètes de J.-J. Rousseau, vol. III",Book,p. 368,pencil;underlining,,,,,pouvoir,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/bd%2F28%2Fe2%2Fbd28e20f6da6431ea99eb8d97c9e7593%2Fintermediate_file/pct:68.17,64.46,12.76,2.6/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-iii-1964/gallery/images/p-368/large@2x/
https://derridas-margins.princeton.edu/interventions/00ad6d22-64f6-4649-9a95-a6f8270cceb8/,https://derridas-margins.princeton.edu/titles/141/,Sein und Zeit,Book,p. 428,blue ink;circling,,,,,kritisieren,German,de,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/3e%2F68%2Fae%2F3e68ae57df47472fa177358f9abd49e1%2Fintermediate_file/pct:61.99,52.5,14.85,4.4/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/p-428/large@2x/
https://derridas-margins.princeton.edu/interventions/00cb409e-1d22-4c6c-ac5d-2a34a18f8af1/,https://derridas-margins.princeton.edu/titles/134/,Tristes Tropiques,Book,p. 264,black ink;bracket(s),,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/44%2Fb5%2F6b%2F44b56b7e40c54930945934c02213aaa8%2Fintermediate_file/pct:19.48,53.45,76.92,30.73/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/p-264/large@2x/
https://derridas-margins.princeton.edu/interventions/011ae8dd-cc63-4790-9e47-1549f3101e7f/,https://derridas-margins.princeton.edu/titles/123/,Logique formelle et logique transcendantale,Book,p. 387,blue ink;underlining,,,,,sous,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/fa%2F9c%2F03%2Ffa9c039f24c24d60bf64afdd8ccaff44%2Fintermediate_file/pct:34.84,45.7,11.19,3.4/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/husserl-formale-und-transzendentale-logik-versuch-einer-kritik-der-logischen-1957/gallery/images/p-387/large@2x/
https://derridas-margins.princeton.edu/interventions/01c4137f-2359-4e5a-b934-43752713eed6/,https://derridas-margins.princeton.edu/titles/225/,Sociologie et anthropologie,Book,p. xlvii,black ink;bracket(s);marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/a3%2F8e%2F5c%2Fa38e5ca52680453b8c96f0c9d254a81f%2Fintermediate_file/pct:74.38,73.2,6.94,4.7/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/p-xlvii/large@2x/
https://derridas-margins.princeton.edu/interventions/02031300-f6e2-4eb5-9c5a-3a120cd74618/,https://derridas-margins.princeton.edu/titles/243/,De la grammatologie,Book,p. 446,correction;marginal mark;pencil,é,French,fr,,Levi-Strauss,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/1d%2F9a%2F4f%2F1d9a4ff0c44344ca96f01a573e87f2ed%2Fintermediate_file/pct:19.54,75.5,5.25,5.8/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/p-446/large@2x/
https://derridas-margins.princeton.edu/interventions/0210ed8f-4afb-4402-ab89-cb28b6b387d5/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 103,line;pencil,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/20%2F1c%2Fb9%2F201cb940c7954395b0e2f66507244749%2Fintermediate_file/pct:5.77,41.5,3.95,12.3/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-103/large@2x/
https://derridas-margins.princeton.edu/interventions/02850014-f384-4adf-b167-c10361ec948d/,https://derridas-margins.princeton.edu/titles/107/,Essais de linguistique générale,Book,p. 116,circling;pencil,,,,,l'exigence théorique,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/ed%2Fe0%2F79%2Fede0795ad127410098bec0fd3b3fec55%2Fintermediate_file/pct:54.91,27.3,27.45,3/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/jakobson-fundamentals-of-language-1963/gallery/images/p-116/large@2x/
https://derridas-margins.princeton.edu/interventions/02a5a430-5f5c-4a1b-9707-0acd696ed137/,https://derridas-margins.princeton.edu/titles/177/,"Oeuvres complètes de J.-J. Rousseau, vol. I",Book,p. 41,line;pencil,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/ae%2F38%2Fa7%2Fae38a720bcb24602b05018a2dc59b7df%2Fintermediate_file/pct:66.25,56.3,5.51,7.6/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-i-1959/gallery/images/p-41/large@2x/
https://derridas-margins.princeton.edu/interventions/02b44832-77f4-480e-b8ee-50c78dd1fe5e/,https://derridas-margins.princeton.edu/titles/225/,Sociologie et anthropologie,Book,p. xxxv,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/57%2F6b%2F40%2F576b40af3c5340afafd057eef9ac0f62%2Fintermediate_file/pct:77.19,50,4.3,13.3/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/p-xxxv/large@2x/
https://derridas-margins.princeton.edu/interventions/0328b2e0-0e9b-4c0b-aafd-77720153cd6b/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 26,blue ink;line,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/13%2F53%2Fd6%2F1353d629196240fab73430b2e42871f2%2Fintermediate_file/pct:88.23,30.63,5.35,6.11/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-26/large@2x/
https://derridas-margins.princeton.edu/interventions/03a917aa-2ec7-47c1-8418-20a0d18a9131/,https://derridas-margins.princeton.edu/titles/114/,La littérature européenne et le Moyen Âge latin,Book,p. 476,blue ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/72%2F19%2Fac%2F7219acceb1b348388ff325ca8d4756a2%2Fintermediate_file/pct:12.94,46.8,7.8,13.1/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/curtius-la-litterature-europeenne-et-le-moyen-age-latin-1956/gallery/images/p-476/large@2x/
https://derridas-margins.princeton.edu/interventions/03b1b3f5-650b-495a-ad3a-44809f42b7d1/,https://derridas-margins.princeton.edu/titles/107/,Essais de linguistique générale,Book,p. 116,black ink;marginal mark;transcription uncertain,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/ed%2Fe0%2F79%2Fede0795ad127410098bec0fd3b3fec55%2Fintermediate_file/pct:8.36,28.9,14,10.8/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/jakobson-fundamentals-of-language-1963/gallery/images/p-116/large@2x/
https://derridas-margins.princeton.edu/interventions/03ebb475-eceb-430c-868f-b0fcdfcf09c0/,https://derridas-margins.princeton.edu/titles/140/,Zur Seinsfrage,Book,p. 31,line;marginal mark;red ink,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/07%2Fd2%2Fad%2F07d2adae4ddd41e9b296cc61dd40eda1%2Fintermediate_file/pct:80,15.8,6.72,10/full/0/default.jpg",red ink,https://derridas-margins.princeton.edu/library/heidegger-zur-seinsfrage-1959/gallery/images/p-31/large@2x/
https://derridas-margins.princeton.edu/interventions/04186e4b-d02b-4ee4-8599-73f274e4fb2b/,https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,p. 112,marginal mark;pencil;text illegible,? …,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/fc%2F3c%2F91%2Ffc3c912760b547a691f1107c80adf3b0%2Fintermediate_file/pct:12.44,63,12.13,6.1/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/p-112/large@2x/
https://derridas-margins.princeton.edu/interventions/04346de5-0b86-485a-b3d1-081bb8078187/,https://derridas-margins.princeton.edu/titles/2/,L'Ecriture et la psychologie des peuples: actes de colloque,Book,p. 338,black ink;line,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/fa%2Ff8%2Fb0%2Ffaf8b0f4a67743b4b78ed69f5e5b6187%2Fintermediate_file/pct:19.02,44.14,4.35,5.91/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/bloch-lecriture-et-la-psychologie-des-peuples-actes-de-colloque-1963/gallery/images/p-338/large@2x/
https://derridas-margins.princeton.edu/interventions/04535c5d-5589-4b0d-a8fe-4a38c06a6f92/,https://derridas-margins.princeton.edu/titles/2/,L'Ecriture et la psychologie des peuples: actes de colloque,Book,p. 36,line;pencil,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/1d%2F7d%2Fe4%2F1d7de444731a461c941875debc3905b3%2Fintermediate_file/pct:21.6,17.6,3.8,3.6/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/bloch-lecriture-et-la-psychologie-des-peuples-actes-de-colloque-1963/gallery/images/p-36/large@2x/
https://derridas-margins.princeton.edu/interventions/04607c6f-b055-47a6-9981-5371549a86e7/,https://derridas-margins.princeton.edu/titles/197/,Essais et conférences,Book,p. 215,black ink,173,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/72%2F67%2Ffd%2F7267fdf644c14da4807037f0fd223802%2Fintermediate_file/pct:80.04,20.8,13.43,5.5/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/heidegger-vortrage-und-aufsatze-1958/gallery/images/p-215/large@2x/
https://derridas-margins.princeton.edu/interventions/0494c8d7-a05a-4adb-a1d2-32755d33365d/,https://derridas-margins.princeton.edu/titles/121/,Les dieux et le destin en Babylonie,Book,p. 105,line;pencil,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/ae%2Fc5%2Fa3%2Faec5a3dfa4bf46feb7170cfe42e1a56f%2Fintermediate_file/pct:79.92,32.9,7.72,10/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/v-david-les-dieux-et-le-destin-en-babylonie-1949/gallery/images/p-105/large@2x/
https://derridas-margins.princeton.edu/interventions/04bf8e73-5e26-4164-9093-ab61e9b26978/,https://derridas-margins.princeton.edu/titles/141/,Sein und Zeit,Book,p. 428,blue ink;underlining,,,,,radikalste,German,de,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/3e%2F68%2Fae%2F3e68ae57df47472fa177358f9abd49e1%2Fintermediate_file/pct:78.96,56.2,11.58,3.1/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1963/gallery/images/p-428/large@2x/
https://derridas-margins.princeton.edu/interventions/052902c9-f048-449a-8408-9f9cba70e52e/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 31,blue ink;line,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/88%2F9f%2F34%2F889f34ea625543b2b82b5a6266105caf%2Fintermediate_file/pct:73.44,30.2,3.79,7.2/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-31/large@2x/
https://derridas-margins.princeton.edu/interventions/05476cab-b2d0-49d7-8e10-0ce4e3702306/,https://derridas-margins.princeton.edu/titles/118/,Leibniz critique de Descartes,Book,p. 68,arrow;marginal mark;red ink,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/07%2Ff6%2F23%2F07f623f0899344c0baf4de564fb54493%2Fintermediate_file/pct:11.94,46.1,10.03,7.1/full/0/default.jpg",red ink,https://derridas-margins.princeton.edu/library/belaval-leibniz-critique-de-descartes-1960/gallery/images/p-68/large@2x/
https://derridas-margins.princeton.edu/interventions/05bc0e83-a8fd-4ac5-b8d8-3b5a04adf4a9/,https://derridas-margins.princeton.edu/titles/134/,Tristes Tropiques,Book,p. 265,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/1f%2F6d%2Fdd%2F1f6dddeabd934c049f20fe0c29b54889%2Fintermediate_file/pct:77.63,40.3,5.83,12.8/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/p-265/large@2x/
https://derridas-margins.princeton.edu/interventions/05ff802d-2dbd-4a7e-b63e-a4e629d02dc3/,https://derridas-margins.princeton.edu/titles/197/,Essais et conférences,Book,p. 217,circling;pencil,,,,,petitesse,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/64%2F85%2F92%2F648592c6384b406a915245914e9b2662%2Fintermediate_file/pct:14.31,73.5,17.84,4.1/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/heidegger-vortrage-und-aufsatze-1958/gallery/images/p-217/large@2x/
https://derridas-margins.princeton.edu/interventions/06079c73-cd75-4803-92bb-f658e758b856/,https://derridas-margins.princeton.edu/titles/2/,L'Ecriture et la psychologie des peuples: actes de colloque,Book,p. 77,line;pencil,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/df%2F5a%2F97%2Fdf5a974e8d024412b135b4fee64f27fa%2Fintermediate_file/pct:5.02,56.8,6.51,5.2/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/bloch-lecriture-et-la-psychologie-des-peuples-actes-de-colloque-1963/gallery/images/p-77/large@2x/
https://derridas-margins.princeton.edu/interventions/068d326d-92bf-4877-9eff-67774cc83ae6/,https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,p. 165,black ink;correction;marginal mark,elles,French,fr,they,sont-ils,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/cc%2Fc9%2F40%2Fccc940da71de47cab7dd4e36cf5f9be8%2Fintermediate_file/pct:79.61,50,12.48,4/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/p-165/large@2x/
https://derridas-margins.princeton.edu/interventions/06c8fb67-4a9a-42ee-8290-b307eb12fff1/,https://derridas-margins.princeton.edu/titles/11/,L'écriture et la différence,Book,p. 321,blue ink;correction;marginal mark;punctuation mark,",",French,fr,,"aussi, dans",French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/9e%2F61%2F28%2F9e6128438b194388b5963a0ae7176f2f%2Fintermediate_file/pct:83.07,50.6,7.68,3.6/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/derrida-lecriture-et-la-difference-1967/gallery/images/p-321/large@2x/
https://derridas-margins.princeton.edu/interventions/06e169f5-61a0-48e6-86f2-cfc99ec1d967/,https://derridas-margins.princeton.edu/titles/113/,Die Krisis der europäischen Wissenschaften und die transzendentale Phänomenologie: Eine Einleitung in die phänomenologische Philosophie,Book,p. 222,pencil;underlining,,,,,vermeinte,German,de,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/a8%2Fa0%2Fa5%2Fa8a0a51bf8534ff280a5adf89b674315%2Fintermediate_file/pct:73.67,62.7,12.46,4.2/full/0/default.jpg",pencil,https://derridas-margins.princeton.edu/library/husserl-die-krisis-der-europaischen-wissenschaften-und-die-transzendentale-phanomenologie-1954/gallery/images/p-222/large@2x/
https://derridas-margins.princeton.edu/interventions/07037bbc-50c2-4b9e-95e4-b5bf3a5b2023/,https://derridas-margins.princeton.edu/titles/123/,Logique formelle et logique transcendantale,Book,p. 386,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/3c%2Fa8%2F25%2F3ca825814fbf41dea16a2b8384d20222%2Fintermediate_file/pct:18.44,36.3,8.88,4.6/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/husserl-formale-und-transzendentale-logik-versuch-einer-kritik-der-logischen-1957/gallery/images/p-386/large@2x/
https://derridas-margins.princeton.edu/interventions/0704879f-79ae-450e-a853-a7fe9660bb01/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 167,blue ink;underlining,,,,,pas différents,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/5f%2F4c%2F24%2F5f4c2408c297418990e645b5132fbfd1%2Fintermediate_file/pct:28.68,60.1,15.33,3/full/0/default.jpg",blue ink,https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-167/large@2x/
https://derridas-margins.princeton.edu/interventions/073ab590-1446-4b63-ba71-5d530c2b4694/,https://derridas-margins.princeton.edu/titles/97/,Anthropologie structurale,Book,p. 39,black ink;line;marginal mark,,,,,,,,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/45%2F07%2F2d%2F45072d99b9004e60afb2e0fc02939ea4%2Fintermediate_file/pct:72.86,58,4.77,12.3/full/0/default.jpg",black ink,https://derridas-margins.princeton.edu/library/levi-strauss-anthropologie-structurale-1958/gallery/images/p-39/large@2x/
https://derridas-margins.princeton.edu/interventions/0761b909-2159-4667-b6ca-4ee5ee4174f4/,https://derridas-margins.princeton.edu/titles/100/,Cours de linguistique générale,Book,p. 55,red ink;underlining,,,,,ils ont doté la linguistique d'une science auxiliaire qui l'a affranchie du mot écrit,French,fr,"Derrida, Jacques","https://iiif-cloud.princeton.edu/iiif/2/ab%2Fa2%2F80%2Faba2808a44ea436d9da248944f3c7f90%2Fintermediate_file/pct:8.19,69.6,64.34,6/full/0/default.jpg",red ink,https://derridas-margins.princeton.edu/library/saussure-cours-de-linguistique-generale-1960/gallery/images/p-55/large@2x/
